,labels,text,label_text
55,1," calls on the Government to set out a clear strategy and timetable for British membership of the euro, including measures to accelerate convergence of interest rates, an early report on plans to make Britain's inflation target compatible with that used within the euro zone, urgent clarification of the remit of the cross-party euro preparations committee, initiation of an annual HM Treasury report to Parliament on progress on the Government's five convergence criteria, and steps to encourage an open debate on the appropriate level at which sterling should join the euro",External Relations
56,1," and further urges the Government to contribute to the development of a European Union which is open, accountable, democratic and decentralised, and in which the powers of European institutions, the constitutional relationship between the EU and member states and the rights of the citizens of EU member states are more clearly defined through the establishment of a constitution for Europe.",External Relations
57,6,"That this House condemns the alarming increase in the numbers of terrorist beatings, mutilations, shootings, cases of intimidation and instances of people being forced to leave their homes in Northern Ireland",Fabric of Society
58,6,notes that these are being carried out by organisations whose political representatives backed the Belfast Agreement,Fabric of Society
59,6,further notes that these continued attacks are clear breaches of the Belfast Agreement that required a commitment to exclusively democratic and peaceful methods and that terrorist ceasefires had to be complete and unequivocal,Fabric of Society
60,6," recalls that the Prime Minister said that for terrorist organisations to benefit from prisoner release schemes there must be an end of violence including bombings, killings and beatings",Fabric of Society
61,6,and calls upon Her Majesty's Government to use its powers contained in the Northern Ireland (Sentences) Act 1998 to halt the early release of terrorist prisoners until violence in Northern Ireland has ended in all its forms.,Fabric of Society
62,3,That this House deplores the bureaucratic burdens placed on schools by the Government which are seriously undermining schools' ability to run their own affairs,Political System
63,5,condemns the pursuit of uniformity at the expense of diversity,Welfare and Quality of Life
64,3,considers the Government's proposals for performance-related pay for teachers to be cumbersome and unworkable,Political System
65,3,believes the complicated process of bidding for centralised initiatives is fragmenting budgetary responsibility and has caused unacceptable delays in setting indicative budgets,Political System
66,3,and further believes that the Government's ceaseless flow of directives to schools and LEAs has become a significant obstacle to raising educational standards.,Political System
67,6,That this House pays tribute to the high standards of policing in this country,Fabric of Society
68,6," endorses the priority of the last Conservative Government in increasing the strength of the police by over 15,000",Fabric of Society
69,6," but deplores the policies of the present Government, which are leading to reductions in police strength, cuts in services and the introduction of non-police patrols at a time when it is essential to build the best possible relations between police and public.",Fabric of Society
70,4,That this House deplores the failure of the USA and the EU to resolve the trade dispute arising from the so-called banana war,Economy
71,4," recognises the serious impact which the US retaliatory measures are having on British industries, in particular the devastating impact on the cashmere industry in the Scottish Borders",Economy
72,4,is concerned that these actions are a precursor of further major trade disputes over the importation into the UK of genetically and hormonally modified food products from the USA,Economy
73,5," and urges the Government to step up its diplomatic and other efforts to ensure that all parties work together to first reform the WTO regime to ensure compatibility with international biodiversity agreements, environmental and animal welfare objectives, and then to ensure compliance with the WTO objectives of free and fair trade.",Welfare and Quality of Life
74,4,That this House regrets the way the Government is making it too dear to make things in Britain,Economy
75,4," condemns the tax increases, increases in regulation and the poor climate for industry brought about by present policies",Economy
76,4," highlights the factory closures and 250,000 forecast job losses feared by the trade unions",Economy
77,4," condemns the New Deal for young people, which has failed to reduce youth unemployment, has disappointed employers and requires radical change if it is to stop wasting billions of pounds of taxpayers' money",Economy
78,4,and recommends a change of policy to avoid a prolonged and damaging industrial collapse and consequent rising industrial unemployment.,Economy
79,6,That this House believes that the Scottish Parliament and the National Assembly for Wales need to work not only in the interests of the people of Scotland and Wales but for all the people of the United Kingdom and calls upon the Government to address the imbalances and tensions introduced by the establishment of the devolved bodies,Fabric of Society
80,3,urges the Government to abandon plans for electoral reform at Westminster in the light of experience in Scotland and Wales,Political System
81,6,and calls upon all unionist parties to resist resurgent nationalism in every part of the UK.,Fabric of Society
82,1,That this House notes that the EU ban on hormonally-modified meat must end on Thursday 13th May 1999 under World Trade Organisation rules and that the USA is threatening massive retaliatory trade sanctions against member states unless this is adhered to,External Relations
83,4," is concerned that the latest scientific evidence raises serious doubts over the safety of these and genetically-modified products, further undermining consumer confidence",Economy
84,1," deplores the failure of the EU and the USA to pursue agreed research criteria into the efficacy of introducing such products into the food chain, threatening established World Trade Organisation agreements and ignoring the impact on global biodiversity in the long term",External Relations
85,1," and urges the Government to recognise its responsibilities at the forthcoming Millennium Round and ensure that food safety, the protection of biodiversity and assistance to the economies of developing countries are integral to negotiations on the liberalisation of trade.",External Relations
86,2,"That this House, in the light of experience of recent elections held on the basis of proportional representation, believes that this is not an appropriate basis for election to the House of Commons",Freedom and Democracy
87,2," and urges the Government to resolve the uncertainty it has caused on this matter either by abandoning its commitment to hold a referendum, or by holding the referendum forthwith.",Freedom and Democracy
88,4,That this House notes that the rapid expansion of out-of-town superstores under the Conservatives and the concentration of local market share has hit traditional town centres,Economy
89,4,notes that supermarket purchasing and pricing policies have hit farmers but not led to lower prices for consumers and are now under investigation by the Competition Commission as a result,Economy
90,4," further notes that a new wave of larger superstore developments and predatory pricing to gain market dominance, and a squeeze of local producers and traditional retailers, is threatened by Wal-Mart's acquisition of ASDA",Economy
91,4," therefore calls on the Government to reaffirm its commitment to preventing further out-of-town greenfield development, and to tackle urgently anti-competitive, anti-producer and anti-consumer practices by the major food retailers",Economy
92,4,and calls on the Prime Minister to put on record in the House the substantive contents of his meeting earlier this year with the Chief Executive of Wal-Mart and to clarify exactly what flexibility in planning regulation was offered in respect of any future superstore development.,Economy
93,4,That this House condemns the Government's contradictory signals on transport and planning policies,Economy
94,4," requests the Secretary of State for the Environment, Transport and the Regions to cancel the M4 bus lane, and find a way of reopening the Circle Line and keeping other tube lines open",Economy
95,4,notes that the Government has no policies to increase road or rail capacity in line with traffic growth forecasts,Economy
96,4,is appalled that motorists are paying more and more tax under Labour to sit in ever worse traffic jams,Economy
97,4,and urges the Government to revitalise town centres and to follow transport and planning policies that can get Britain moving again.,Economy
98,5,"That this House notes the failure of the Government to deliver improvements in the provision of health care in the United Kingdom, resulting in increased waiting times for patients, plummeting morale in the medical and nursing professions, distortion of clinical priorities and the increasingly widespread rationing of drugs and treatments",Welfare and Quality of Life
99,5," and believes that repeated announcements, soundbites and photo opportunities are no substitute for a coherent and effective health policy.",Welfare and Quality of Life
100,7,"That this House notes with dismay the plight of British farmers whose incomes have plummeted to record lows in the last four years, as a result of higher costs and lower farm gate prices producing rapidly increasing losses, despite continually high supermarket profit margins and costs to consumers",Social Group
101,7,further notes that the extra costs imposed through regulation and public health protection that fall directly on the industry should more properly come from the public health budget,Social Group
102,7,deplores the failure of the Government to provide an adequate response to this national food crisis,Social Group
103,7," and therefore calls on the Government to recognise that its latest financial package is insufficient to tackle the fundamental restructuring of UK and EU agriculture policy, necessary for a secure future for British farmers, consumers and the countryside.",Social Group
104,3,That this House notes the Government's incompetent handling and mismanagement of Home Office issues in general,Political System
105,6," further notes that the number of police officers in England and Wales has fallen by more than 1,000 since the General Election",Fabric of Society
106,6,further notes that the Home Secretary's recent announcement on police recruits will mean another fall in the number of police officers in England and Wales,Fabric of Society
107,6," further notes the chaos caused by the Government in the Immigration and Nationality Directorate and the record numbers of asylum-seekers, many of them bogus, now arriving in the United Kingdom",Fabric of Society
108,6,further notes the recent revelations arising from the Mitrokhin Archive,Fabric of Society
109,6," and calls on the Government to increase police numbers, to improve the working of the Immigration and Nationality Directorate, to reduce the numbers of bogus asylum-seekers arriving in the United Kingdom and to ensure that those who betray the United Kingdom to foreign powers are pursued with the utmost vigour.",Fabric of Society
110,7,"That this House takes note of the unnumbered Explanatory Memorandum, submitted by the Minister of Agriculture, Fisheries and Food on 5th December 1999, relating to the fixing of fishing opportunities for 2000 and certain conditions under which they may be fished",Social Group
111,5,recognises that many fish stocks remain in poor shape and need to be rebuilt for the future,Welfare and Quality of Life
112,7," and supports the Government's intention to negotiate the best possible fishing opportunities for UK fishermen consistent with the sustainable management of stocks, effective enforcement and the need to ensure that the regional differences of fisheries and their communities are fully recognised.",Social Group
113,5,That this House believes that an increase of 75p in April 2000 in the rate of the retirement pension would be inadequate.,Welfare and Quality of Life
114,3,"That this House deplores the fact that Government interference in the Millennium Dome has rendered it a source of national embarrassment, a wasted opportunity to celebrate Britain and the Millennium and poor value for Lottery players' money.",Political System
115,5,"That this House notes the continued underfunding of the National Health Service compared to the European average, as recently highlighted by the Prime Minister, the continued underfunding of schools, with average class sizes rising for most age groups since the election of the Labour Government, that government investment in public transport is significantly below that provided by the previous Government, that police numbers are falling, and that the 75p increase in the weekly pension is grossly inadequate",Welfare and Quality of Life
116,5," and concludes that instead of tax cuts the Chancellor should give greater priority to further improvement in the National Health Service, schools funding, public transport, the police and a greater increase in state pensions.",Welfare and Quality of Life
117,1,"That this House notes with concern that the Government's response to the humanitarian crisis in Mozambique was hampered by indecision and delay, and that infighting between Ministers in the Department for International Development and the Ministry of Defence contributed to the delay in sending helicopters and boats to assist in the rescue of the people of Mozambique",External Relations
118,1,deeply regrets that lives were lost as a result,External Relations
119,1,deplores the absence of 'joined up government' and the failure by the Prime Minister to intervene until Her Majesty's Opposition and the media exposed the Government's failings,External Relations
120,1,calls upon Ministers to accept responsibility for such delays,External Relations
121,1,and seeks assurance that the response to any future disasters will be more immediate and co-ordinated.,External Relations
122,3,That this House welcomes the well-deserved award of the George Cross to the Royal Ulster Constabulary,Political System
123,3,condemns the Government's decision to remove its Royal title,Political System
124,3,and calls for the postponement of the implementation of other controversial recommendations in the Patten Commission Report on Policing in Northern Ireland until the 'new dispensation' on which it was predicated has truly arrived.,Political System
125,7,"That this House takes note of European Union Document No. 6629/00, a Commission proposal on the prices for agricultural products (2000â?1)",Social Group
126,7," supports the Government's intention to negotiate an outcome which takes account of the interest of UK producers, consumers and tax-payers alike",Social Group
127,7," and also takes note and approves of the action which the Government has taken in partnership with the industry to launch the new Action Plan for Farming to ensure that British agriculture is more sustainable, dynamic and diverse, and more consumer and market-orientated.",Social Group
128,5,That this House notes the failure of the Government to meet its target for recruitment into initial teacher training and the failure of Government schemes to encourage maths and science graduates into the teaching profession,Welfare and Quality of Life
129,3," views with concern the recent poll which showed that over half the profession expects to leave in the next decade and the fact that more teachers are leaving the profession than joining: deplores the Government's failure to deal with the bureaucratic workload faced by teachers, despite teachers' concerns and evidence that this is one of the key factors causing teachers to leave",Political System
130,3,recognises that this leads to children suffering in the quality of their education,Political System
131,3," and calls upon the Government to take urgent action to reduce the bureaucratic workload on teachers, to trust the professionals and to let teachers teach.",Political System
132,4,"That this House notes that, while government spending on transport has fallen in comparison with the period before the 1997 General Election, taxation on the motorist has been raised to record levels, so that Â£1 in every Â£7 now spent by the Government is raised from the motorist",Economy
133,4,condemns the Government for presiding over ever-worsening congestion without any policies to deal with continuing road traffic growth,Economy
134,4,welcomes the increasing investment in transport industries that were privatised during the previous administration,Economy
135,4," laments the failure of the Government to build on these achievements and that total public and private investment levels in transport are still well below what is required by people, business and industry",Economy
136,4," and condemns ministers for failing to secure increased funding for anything except for the growing costs of running the Department of the Environment, Transport and the Regions which is the Government's largest and least effective Department of State.",Economy
137,5,That this House believes that the Government's policy towards pensioners is patronising and confusing,Welfare and Quality of Life
138,5,recognises that pensioners want the dignity of receiving social security through their basic state pension as an entitlement and not through complicated special payments,Welfare and Quality of Life
139,5," urges therefore that the winter fuel payment, free TV licence, and the age addition, along with funds from abolishing the failed New Deal for Lone Parents and other savings, should all be put into a substantial increase in the basic state pension for 2001/2002 of Â£5.50 for a single pensioner under 75, Â£7 for a couple under 75, Â£7.50 for a single pensioner over 75, and Â£10 for a couple over 75, together with a commensurate increase in thresholds for benefits and tax allowances, so that the value of the increase is passed on to all pensioners, ensuring that they are better off than at present under this Government's muddled and incompetent policies.",Welfare and Quality of Life
140,3,"That this House notes the recommendations in the Sixth Report of the Committee on Standards in Public Life, ""Reinforcing Standards"", concerning Ministers and Special Advisers",Political System
141,3,regrets that the Government has failed to respond to that report,Political System
142,3,notes that the Prime Minister will not accept responsibility for adjudicating on the compliance of Ministers with the Ministerial Code of Conduct,Political System
143,3,further notes that the number and cost of Special Advisers continue to increase,Political System
144,3,believes that Ministers should be accountable for conflicts of interest and failures to comply with the spirit as well as the letter of the Ministerial Code of Conduct,Political System
145,3," further believes that the number, and activities, of Special Advisers is prejudicing the impartiality of the Civil Service and accountability of government",Political System
146,3,and calls upon the Government to accept in full the recommendations of the Committee on Standards in Public Life in relation to Ministers and Special Advisers.,Political System
147,4,"That this House is alarmed at the continuing job losses in manufacturing industry, which now total over 300,000 since the 1997 election",Economy
148,4,condemns the Government for having abandoned this sector of the economy while burdening it with additional taxes and regulations,Economy
149,4,and demands that the Secretary of State for Trade and Industry brings forward a strategy for restoring the competitiveness of British manufacturing industry in world markets.,Economy
150,5,"That this House notes with concern the failures of Her Majesty's Government's public health policy, particularly relating to immunisation and communicable diseases",Welfare and Quality of Life
151,5,and calls on the Government to consider urgent measures to reduce the risks to public safety and to take urgent action to allay public concerns.,Welfare and Quality of Life
152,3,"That this House condemns the Government's failure to deal with the total chaos in the asylum system, which is detrimental to the interests of genuine refugees and the people of the United Kingdom",Political System
153,3,notes the failure of the Government's measures introduced under the Immigration and Asylum Act 1999,Political System
154,3," further notes that the number of asylum applications made in 2000 reached the record level of 76,040, and that the proportion of unfounded claims increased to 78 per cent of all applications",Political System
155,3,notes with concern the continuing backlog of asylum applications and undetermined applications for British citizenship,Political System
156,3,and calls on the Government to take action to put in place measures which would both deter unwarranted claims and assist genuine refugees.,Political System
157,7,"That this House notes that the current foot and mouth crisis has impacted upon a wide range of rural businesses and services, affecting almost every aspect of rural life",Social Group
158,7,further notes that foot and mouth has hit a countryside already in decline as a result of years of neglect under successive Governments,Social Group
159,4,urges Her Majesty's Government to provide realistic emergency support to the whole range of businesses affected to enable them to withstand this crisis,Economy
160,7,and calls on the Government to put in place long-term policies to regenerate British agriculture and to revitalise the rural economy as a whole.,Social Group
161,1,"That this House believes that in environmental, foreign affairs and security policies only a collective and multilateral approach will now succeed",External Relations
162,5,regrets the unilateral decision of the United States to refuse to adopt the Kyoto Protocol and calls upon Her Majesty's Government to use every effort to persuade the United States government to reverse that decision,Welfare and Quality of Life
163,2,asserts the universality of human rights and calls upon Her Majesty's Government to recognise that respect for human rights should be at the centre of a foreign policy with an ethical dimension,Freedom and Democracy
164,1," and reaffirms its support for a reformed, fully-funded United Nations equipped to respond swiftly to oppression and the systematic abuse of human rights.",External Relations
165,5,"That this House recognises the importance of post-16 education in schools and colleges, in offering new opportunities to young people and in improving the nation's skills base and international competitiveness",Welfare and Quality of Life
166,5," regrets the hasty introduction of the new AS levels, which has resulted in organisational chaos for schools, a reduction in extra-curricular activities and had a severe effect on the lives of young people",Welfare and Quality of Life
167,5,considers that the interim response of the Qualifications and Curriculum Authority and the Government on this issue is inadequate,Welfare and Quality of Life
168,5,recognises the important role played by further education colleges in providing opportunities for young people and widening participation,Welfare and Quality of Life
169,5," deplores the current low pay, status and morale of further education lecturers",Welfare and Quality of Life
170,5,condemns the Government's failure to meet its targets for expansion of further education student numbers,Welfare and Quality of Life
171,5," and urges the Government to retain the financing of school sixth forms in the schools sector, address urgently the problems in the further education sector and reconsider the spectrum of qualifications post-14.",Welfare and Quality of Life
172,1,"The Foreign Secretary is representing the United Kingdom at a meeting today in Luxembourg of the General Affairs Council, which will discuss the European Union's overall counter-terrorism policy in response to the atrocities on 11 September. In particular, EU Foreign Ministers will review progress on the package of measures called for at the emergency European Council on 21 September. They will also discuss the way forward on Afghanistan and how best to ensure a better future for the country and its people. The Foreign Secretary will then immediately travel to Turkey for further talks. The Turks are an important part of the international coalition against terrorism, and we will continue to work closely with them and all other allies in the coalition to ensure that terrorism does not prevail.",External Relations
173,5,"The Homelessness Bill is a vital strand of the Government's wider housing strategy to ensure that everybody has the opportunity and choice of a decent home. It will empower local housing authorities to provide greater protection to vulnerable families and to individuals who find themselves homeless. It will provide for more effective strategies and services both to tackle cases of homelessness and to prevent people from becoming homeless in the first place. Most important, however, it will give homeless people more rights and, through regulation on which we are currently holding consultations, it will extend those rights to more vulnerable people.",Welfare and Quality of Life
174,4,"That this House deplores the fact that there are discrepancies between accounts given by the Secretary of State for Transport, Local Government and the Regions to the House of his meetings with the Chairman of Railtrack and his discussions with the Rail Regulator relating to the putting into administration of Railtrack, and their accounts of these discussions",Economy
175,4," notes the concerns of overseas investors such as those expressed by David Winters, portfolio manager for Franklin Mutual, that 'a bigger risk premium is to be attached to investing in British companies now'",Economy
176,3,condemns the Secretary of State for failing to inform the House fully,Political System
177,3," notes that his failure to set the record straight has further undermined his, and the Government's, credibility",Political System
178,3," and calls on the Secretary of State to resign his post before further damage is inflicted on the Government's reputation, both in the business world and the country at large.",Political System
179,3,"That this House notes that the Chancellor of the Exchequer's statement to the House of 27th November has been contradicted in whole or in part by the Secretary of State for Health, the Chairman of the Labour Party and Mr. Derek Wanless",Political System
180,3,further notes that the Chancellor of the Exchequer refused to endorse the statement made to the House by the Prime Minister on 28th November,Political System
181,3,and condemns the total confusion over funding the public services which these contradictions have caused among users and providers of these services.,Political System
182,5,"That this House believes that the underfunding of social care by successive Governments has led to bottlenecks and delays in the NHS, reducing health care capacity and increasing waiting times",Welfare and Quality of Life
183,5,further believes that it is the most vulnerable elderly who suffer the consequences of inadequate care,Welfare and Quality of Life
184,5,regrets that the piecemeal approach of the Government to hospital delayed discharge simply shifts the pressures from one part of the care system to another,Welfare and Quality of Life
185,5,condemns the Government for its mishandling and misunderstanding of the care home sector and the consequent loss of homes and beds,Welfare and Quality of Life
186,5,regrets that the failure to adequately fund social care has produced serious staff shortages and reduced choice and quality for those in need of care,Welfare and Quality of Life
187,5," and calls on the Government to undertake a whole system review of funding for social care to tackle staff shortages, increase capacity, promote choice and ensure that people get the right care at the right time.",Welfare and Quality of Life
188,5,That this House notes the mounting crisis in education,Welfare and Quality of Life
189,5," regrets that unauthorised absences from secondary schools are rising, and that examination standards in mathematics fell last year among 11-year-olds",Welfare and Quality of Life
190,5," and calls on the Government to make an immediate announcement about how it intends to help those affected by the ILA collapse, and what scheme it proposes to replace ILAs.",Welfare and Quality of Life
191,5," further notes that morale among teachers has fallen so low that three teaching unions are currently engaged in industrial action, including an unprecedented ballot on industrial action among head teachers",Welfare and Quality of Life
192,5,regrets the early departure from the teaching profession of so many qualified teachers,Welfare and Quality of Life
193,5,notes that teachers themselves blame the excessive workload caused by Government interference for many of these early departures,Welfare and Quality of Life
194,5,condemns the Government for its lack of support for teachers seeking to cope with disciplinary problems in schools,Welfare and Quality of Life
195,5,asks the Government to explain fully the precipitate ending of Education Action Zones,Welfare and Quality of Life
196,5,calls on the Government to restore confidence in the examination board system after the various fiascos faced by Edexcel,Welfare and Quality of Life
197,5,notes that morale among university teachers and students is also low because of funding problems,Welfare and Quality of Life
198,5," further condemns the way decent training providers, including FE colleges, were let down by the failure of Individual Learning Accounts (ILAs)",Welfare and Quality of Life
199,1,"That this House notes the House of Lords Select Committee Report on Chinook ZD 576, which concludes that 'the Air Marshals were not justified in finding that negligence on the part of the pilots of ZD 576 caused the crash' in the Mull of Kintyre on 2nd June 1994",External Relations
200,1," and calls on the Government to exonerate the deceased pilots, flight lieutenants Jonathan Tapper and Richard Cook.",External Relations
201,5,That this House is concerned about the provision of education for children with Special Educational Needs,Welfare and Quality of Life
202,5,notes that last week was Autism Awareness Week,Welfare and Quality of Life
203,5,also notes the publication of reports by the National Autistic Society which shows that two-thirds of teachers in England and Wales believe that there are more children with autism disorders now than five years ago and that one in three children in special schools has some form of autism,Welfare and Quality of Life
204,5,notes a survey carried out by the Conservative Party showing that one quarter of special schools feel threatened with closure,Welfare and Quality of Life
205,5,is concerned by the alarming rise in teacher vacancies in special schools,Welfare and Quality of Life
206,5,condemns the threat to SEN services in the Education Bill,Welfare and Quality of Life
207,5,and calls on the Government to set out clearly its plans for this sector and remove the uncertainty which harms the education of children with Special Educational Needs.,Welfare and Quality of Life
208,5,That this House expresses its deep concern at the plight of those who suffer mental ill-health and notes that almost every family will have experience of some form of mental illness,Welfare and Quality of Life
209,5," is concerned at the inadequate treatment so many receive, the shortages of staff and beds, the gaps in community provision and the lack of choice",Welfare and Quality of Life
210,5," condemns the lack of support and respite for carers, the lack of early intervention with the young and the unmet needs of the elderly",Welfare and Quality of Life
211,5,further notes that many vulnerable people with mental health problems are in prison and receiving inadequate medical care,Welfare and Quality of Life
212,5,expresses concern at the rise in the suicide rate of those suffering from mental illness,Welfare and Quality of Life
213,5,regrets the diversion of mental health funding into other clinical areas,Welfare and Quality of Life
214,5,and calls on Her Majesty's Government to act to raise awareness of the scale of mental health problems and to ensure that patients are treated in an appropriate and dignified way.,Welfare and Quality of Life
